"SpillNumber","DateReported","Note","Product","ProductNote","Town","Location","LATITUDE","LONGITUDE"
"A-375-2001",5/17/2001 4:00:00 PM,"","Unleaded Gasoline","","READFIELD","",44.38786,-69.961512
"A-375-2007",7/2/2007 10:15:00 AM,"contaminated soil found during water line replacement","Unspecified Oil","","ROCKLAND","South Main Street",44.095326,-69.110304
"A-375-2012",7/13/2012 11:50:00 AM,"3x3 stain - other issues with feed lines (3) check out next week","#1 Fuel Oil - Kerosene","","OAKLAND","226 Willey Point Road Bill Getman 507-993-7190",44.534359,-69.73431
"A-376-1986",9/22/1986,"","Diesel","","GARDINER","",44.181456,-69.818657
"A-376-1987",10/19/1987,"","Gasoline Unspecified","","MANCHESTER","",44.32528,-69.8625
"A-376-1999",6/28/1999 3:55:00 PM,"","Hazardous Chemical - Specified in report","","RUMFORD","",44.552361,-70.540829
"A-376-2004",7/5/2004 8:30:00 AM,"AST leaking 275 gallons","Gasoline Unspecified","","MANCHESTER","Lakeside Orchards, 318 Readfield Road",44.33236,-69.875255
"A-376-2006",7/8/2006 1:13:00 PM,"Broken nipple, lost some fuel to the pad and ground","#1 Fuel Oil - Kerosene","","GREENE","12 County Road",44.149152,-70.149235
"A-377-1994",8/17/1994,"","#2 Fuel Oil","","PITTSFIELD","",44.787697,-69.391157
"A-377-2001",5/18/2001 9:30:00 AM,"","#1 Fuel Oil - Kerosene","","PITTSFIELD","",44.799588,-69.471048
"A-377-2008",6/11/2008 11:01:00 AM,"","#2 Fuel Oil","","LIVERMORE","19 Crash Road - house of Dennis Stires",44.442169,-70.217356
"A-378-1989",8/14/1989 1:00:00 AM,"","#2 Fuel Oil","","AUGUSTA","",44.323633,-69.766095
"A-378-1991",8/7/1991,"","#2 Fuel Oil","","READFIELD","",44.421486,-70.002305
"A-378-1994",8/16/1994 8:15:00 AM,"","Hazardous Chemical - Specified in report","","RUMFORD","",44.552361,-70.540829
"A-378-1996",8/14/1996,"","Gasoline Unspecified","","PITTSFIELD","",44.794901,-69.387173
"A-378-2002",6/28/2002 9:00:21 AM,"5 GAL TO PAVEMENT","Gasoline Unspecified","","JAY","RED SHIELD HEATING OIL OFFICE; RT 4 94 MAIN ST",44.48413,-70.200413
"A-379-1986",10/24/1986,"","Gasoline Unspecified","","CLINTON","",44.650345,-69.503934
"A-379-1993",8/3/1993,"","Waste Oil/Used Motor Oil","","MOUNT VERNON","",44.453,-70.014471
"A-379-2010",7/14/2010 8:25:00 AM,"Outside AST spill, est. 200 gallons  ","#1 Fuel Oil - Kerosene","","BELMONT","124 Back Belmont Road Shawn Wetherton 951-5262  (tenant) ",44.381347,-69.085363
"A-379-2012",7/17/2012 3:57:00 PM,"Outside AST leak, est. 75 gallons spilled","#1 Fuel Oil - Kerosene","","THORNDIKE","220 Reynolds Rd. Ronald Archer 948-5338",44.617667,-69.265926
"A-380-1988",9/6/1988,"","Gasoline Unspecified","","CAMDEN","",44.782608,-68.780184
"A-380-1991",8/8/1991,"","#6 Fuel Oil","","AUGUSTA","",44.312325,-69.768517
"A-380-1997",9/29/1997,"","Diesel","","WISCASSET","",44.039197,-69.673234
"A-380-2008",6/11/2008 2:55:00 AM,"Soil contamination found during construction","Unspecified Oil","","WEST GARDINER","MTA Service plaza Rt 126",44.208086,-69.827304
"A-380-2010",7/13/2010 3:45:00 PM,"Corrosion leak - unknown volume","#1 Fuel Oil - Kerosene","","LINCOLNVILLE","Margaret Hall 496 Hope Rod",44.294211,-69.112981
"A-381-1988",9/7/1988,"","Gasoline Unspecified","","LINCOLNVILLE","",44.294316,-69.105185
"A-381-1990",7/31/1990,"","#2 Fuel Oil","","WISCASSET","",44.004353,-69.668284
"A-381-1995",8/17/1995,"","Hazardous Chemical - Specified in report","","RUMFORD","",44.552361,-70.540829
"A-381-1996",8/28/1996 3:53:00 AM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
"A-381-2005",8/16/2005 11:40:00 AM,"Est. 200 gallons cellar AST spill","#2 Fuel Oil","","BREMEN","369 Waldoboro Rd, Hall residence N 44  01.577' W 69 24.980'",44.026366,-69.416386
"A-382-1988",9/8/1988 9:15:00 AM,"","#2 Fuel Oil","","WINTHROP","",44.309163,-69.967223
"A-382-1992",8/10/1992,"","Gasoline Unspecified","","DALLAS PLT","",44.977788,-70.624018
"A-382-1995",8/22/1995,"","Gasoline Unspecified","","GARDINER","",44.231913,-69.774128
"A-382-2003",7/29/2003,"new UST, piping, leak detection","Gasoline Unspecified","","NEWCASTLE","Route 1A",44.034038,-69.535054
"A-382-2004",7/6/2004,"Customer inattentivness resulted in a one cup discharge to the ground","Unleaded Gasoline","","WATERVILLE","Big Apple 33 Elm Street",44.548171,-69.634284
"A-382-2008",6/9/2008 2:45:00 PM,"White sticky substance found along roadside.","Unknown Substance","","MERCER","Between 344 and 409 Baron Road",44.632939,-69.896182
"A-382-2009",6/29/2009 11:00:00 AM,"Chemical tanker roll over - 680 gallons spilled.","Sodium Hydroxide","","KNOX","560 Belfast Road GAC Chemical 548-6912",44.523033,-69.243635
"A-383-1991",8/11/1991 10:40:00 AM,"","Diesel","","WINSLOW","",44.544393,-69.61442
"A-383-1995",8/17/1995 6:00:00 PM,"","#6 Fuel Oil","","RUMFORD","",44.552361,-70.540829
"A-383-2003",7/29/2003,"piping upgrade at cumberland farms","Gasoline Unspecified","","FAIRFIELD","Main Street",44.588277,-69.594869
"A-383-2004",7/6/2004 3:55:00 PM,"Nozzle failed to shut off.  1 cup spilled","Unleaded Gasoline","","SKOWHEGAN","47 Waterville Rd.",44.762911,-69.712716
"A-383-2010",7/13/2010 4:30:00 PM,"Summit Environmental Phase II site assessment property transfer found contaminated soil notification threshold. Cheryl Fontaine reviewing info.","Diesel","","EUSTIS","Arnold Trail Service Station",45.140221,-70.439533
"A-384-1990",7/31/1990,"","#2 Fuel Oil","","GARDINER","",44.221097,-69.792208
"A-384-1994",8/20/1994 10:00:00 AM,"","Sulfuric Acid","","RUMFORD","",44.552361,-70.540829
"A-384-1995",8/18/1995 10:00:00 AM,"","#2 Fuel Oil","","AUGUSTA","",44.320001,-69.645193
"A-384-1996",9/4/1996 11:00:00 AM,"","Gasoline Unspecified","","AUGUSTA","",44.320999,-69.774754
"A-384-2012",7/18/2012 1:07:00 PM,"corrosion of the tank, located in the basement.","#2 Fuel Oil","","OWLS HEAD","55 Ash Point Road",44.073691,-69.099124
"A-385-1989",8/15/1989,"","#6 Fuel Oil","","WATERVILLE","",44.549966,-69.632482
"A-385-1990",7/25/1990,"","Gasoline Unspecified","","FARMINGDALE","",44.243672,-69.771284
"A-385-1992",8/12/1992,"","#2 Fuel Oil","","PITTSFIELD","",44.782608,-68.780184
"A-385-1998",10/28/1992,"","#2 Fuel Oil","","ST GEORGE","",43.967957,-69.209428
"A-385-2004",7/2/2004 2:38:00 PM,"2 cups customer inattention","Gasoline Unspecified","","WATERVILLE","Big Apple, 33 Elm St.",44.548171,-69.634284
"A-385-2008",6/14/2008 6:26:00 PM,"<5 gallons of #2 from corrosion to concrete pad and pavement.","#2 Fuel Oil","","ROCKLAND","Fairpoint Maintenance Facility 90 Broadway; Rockland",44.098268,-69.11748
"A-386-1990",7/18/1990,"","#2 Fuel Oil","","JAY","",44.496234,-70.203205
"A-386-1995",8/18/1995 12:30:00 PM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
"A-386-1998",7/20/1998,"","Gasoline Unspecified","","ST GEORGE","",43.967076,-69.215022
"A-386-2008",6/15/2008 11:30:00 AM,"3-5 gallons of oil to concrete floor. ","#2 Fuel Oil","","ROCKLAND","Alan Toubman Residence - 45 Ocean Street",44.098067,-69.106728
"A-387-1986",10/30/1986,"","Gasoline Unspecified","","WILTON","",44.29424,-69.786156
"A-387-1995",8/19/1995 2:00:00 AM,"","#2 Fuel Oil","","SKOWHEGAN","",44.778805,-69.724172
"A-387-1998",7/20/1998,"","Gasoline Unspecified","","RANGELEY","",44.966254,-70.64472
"A-388-1990",8/3/1990,"","Diesel","","AUGUSTA","",44.33974,-69.756514
"A-388-1994",8/23/1994 11:15:00 PM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
"A-388-2001",5/23/2001 3:15:26 PM,"WEBBER OIL; SKOWHEGAN BULK PLANT OIL IN MONITORING WELL","#2 Fuel Oil","","MADISON","",44.814455,-69.764128
"A-389-1991",8/13/1991 8:30:00 AM,"","Diesel","","JEFFERSON","",44.201014,-69.457796
"A-389-1998",7/22/1998,"","Unleaded Gasoline","","CAMDEN","",44.210174,-69.071379
"A-389-2001",5/4/2001 4:20:39 PM,"VEHICLE GAS LEAK- BIG APPLE","Gasoline Unspecified","","WATERVILLE","",44.569247,-69.639668
"A-389-2003",8/4/2003 3:00:00 PM,"Farmington oil Bulk plant","#2 Fuel Oil","","RANGELEY","",44.966375,-70.662057
"A-390-1994",8/24/1994,"","#2 Fuel Oil","","GARDINER","",44.221617,-69.768917
"A-390-1995",8/22/1995 10:00:00 AM,"","Gasoline Unspecified","","MEXICO","",44.553946,-70.538113
"A-390-1998",7/21/1998,"","#1 Fuel Oil - Kerosene","","BRISTOL","",43.89217,-69.500595
"A-390-2007",7/9/2007,"oil stain on driveway","Diesel","","WISCASSET","117 Foye Rd.",44.032964,-69.681727
"A-390-2009",6/29/2009 11:45:00 AM,"Corrosion leak on outside AST, undetermined amount. ","#1 Fuel Oil - Kerosene","","SANDY RIVER PLT","41 Winston Road",44.937682,-70.629409
"A-391-1990",7/28/1990,"","Pesticide General","","WASHINGTON","",44.244722,-69.366667
"A-391-1996",9/5/1996,"","Corrosive","","RUMFORD","",44.552361,-70.540829
"A-391-2000",7/13/2000,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-391-2002",7/2/2002 9:00:13 AM,"","#2 Fuel Oil","","FARMINGTON","RT 4 HOLLEY RD ROLAND CULLENBERG",44.717968,-70.137972
"A-392-1995",8/22/1995,"","Gasoline Unspecified","","PERU","",44.527272,-70.463605
"A-392-1997",10/3/1997,"","Gasoline Unspecified","","BELGRADE","",44.529349,-69.888417
"A-392-2000",7/11/2000,"","Leaded Gasoline","","FAIRFIELD","",44.682346,-69.632725
"A-392-2006",7/18/2006 8:00:00 AM,"","Diesel","","NEWCASTLE"," Route One, accident near Academy Hill.......",44.036873,-69.537571
"A-392-2011",6/16/2011 6:00:00 AM,"Firematic valve failure, est. 70 gallons spilled to dirt floor in basement.","#2 Fuel Oil","","GARDINER","228 Highland Ave. Paul Bonenfant 582-1328",44.232035,-69.78722
"A-393-1993",8/16/1993,"","Diesel","","ROCKPORT","",44.182611,-69.034806
"A-393-2001",5/29/2001 2:25:41 PM,"DIESEL OVERFILL; 18 GALLONS TO PAVEMENT","Diesel","","LIVERMORE FALLS","",44.402684,-70.12925
"A-393-2004",7/9/2004 3:00:00 PM,"Tank pull - PID over 100","Gasoline Unspecified","","ROCKLAND","59 Camden St, Gety station",44.115332,-69.104392
"A-393-2007",7/11/2007 12:00:00 PM,"Floor lifts leaking into ground.  130 gallons spilled.","Hydraulic Oil","","AUGUSTA","57 Old Winthrop Road.  CMP Service Center Garage",44.320691,-69.804413
"A-393-2011",6/16/2011 9:00:00 AM,"40-50 gallons from tractor trailer accident - mostly to pavement","Diesel","","PITTSFIELD","Industrial Park Road",44.78027,-69.398507
"A-394-1988",9/14/1988 11:10:00 AM,"","#6 Fuel Oil","","WISCASSET","",43.989777,-69.673189
"A-394-1990",8/6/1990,"","Gasoline Unspecified","","RICHMOND","",44.105119,-69.893246
"A-394-2003",8/1/2003 10:22:00 AM,"Phase II investigation for property transfer.  No soil removal planned.  See A-175-1997","Gasoline Unspecified","","CAMDEN","Wayfarer Marine",44.208839,-69.060063
"A-394-2006",7/19/2006 4:00:00 PM,"Nozzle fell of hose < 1 gallon","Unleaded Gasoline","","WATERVILLE","33 Elm Street, Big Apple",44.548171,-69.634284
"A-394-2007",7/10/2007 4:00:00 PM,"SW Cole Eng.  discovered oil contaminated soil while Geo probing near site of removed UST that contained # 5 fuel oil.","#5 Fuel Oil","","CAMDEN","5 Colcord Ave.  Tibbetts Industries Inc..",44.201891,-69.067631
"A-395-1995",8/25/1995,"","Gasoline Unspecified","","CLINTON","",44.636779,-69.503986
"A-395-1996",9/6/1996,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-395-1998",7/23/1998,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-395-2007",7/11/2007 1:10:00 PM,"Janet Dyer, CMP 626-9552.  Vandalized pad mount transformer.  20 gallons spilled.","Transformer Oil","Non PCB - less than 50 ppm.","WATERVILLE","Elm City Plaza, Main Street",44.56679,-69.638882
"A-396-1993",8/19/1993,"","#2 Fuel Oil","","MADISON","",44.800164,-69.824339
"A-396-1997",10/7/1997,"","#2 Fuel Oil","","ROCKPORT","",44.189619,-69.078428
"A-396-2005",8/2/2005 4:49:00 PM,"gasoline odors in water","Gasoline Unspecified","","BRISTOL","Hanley's Market, Rt. 130 & 129",43.991287,-69.533565
"A-396-2007",7/12/2007 2:25:00 PM,"CMP Lisa Chapman.  Gas tank leak on CMP pickup truck.  1 cup spilled to roadside.","Unleaded Gasoline","","WINSLOW","1276 Albion Road.",44.552985,-69.547081
"A-397-1988",9/15/1988,"","Gasoline Unspecified","","AUGUSTA","",44.344232,-69.794105
"A-397-2001",5/31/2001 11:32:40 AM,"LEAK AT DISPENSERS","Gasoline Unspecified","","CHELSEA","",44.24691,-69.766118
"A-397-2004",7/9/2004 8:15:00 AM,"10 gal. gasoline to pavement.","Gasoline Unspecified","","AUGUSTA","No. Augusta Market, Rt 27",44.374732,-69.797073
"A-397-2010",7/21/2010 10:00:00 AM,"Vehicle accident est. 10 gallons spilled.","Gasoline Unspecified","","JEFFERSON","Rt 213 James Worthing",44.198723,-69.488164
"A-397-2011",6/16/2011 8:00:00 AM,"PCB oil spillage needs tech services haz. material referral. Will discuss next week after in service training.","Transformer Oil","Non PCB - less than 50 ppm.","WILTON","Depot Street - Forester Mfg.",44.5902,-70.220598
"A-398-1987",11/14/1987,"","Unknown Substance","","DRESDEN","",44.107465,-69.724701
"A-398-2003",8/5/2003 2:00:00 PM,"UST (2) on site needs to be removed","Gasoline Unspecified","","VASSALBORO","Oak Grove Rd.",44.485354,-69.624451
"A-398-2005",8/26/2005 11:00:00 AM,"Oil line damaged by technician ","#1 Fuel Oil - Kerosene","","READFIELD"," 96  Phorp  Shores",44.36975,-69.949026
"A-399-1997",10/8/1997,"","#6 Fuel Oil","","GARDINER","",44.221617,-69.768917
"A-399-2000",7/13/2000 3:10:00 PM,"","Unspecified Oil","","WATERVILLE","",44.557454,-69.633904
"A-400-1994",8/30/1994,"","Gasoline Unspecified","","FARMINGTON","",44.659169,-70.143057
"A-400-1997",10/10/1997,"","#2 Fuel Oil","","RANGELEY","",44.965438,-70.772723
"A-400-2005",8/30/2005 4:15:00 AM,"oil products & herbicides.  Fire - container breeches","Oil - Other - Specified in Report","","ALBION","Center of town. Asplundh Tree Co. garage",44.5327,-69.442343
"A-400-2011",6/21/2011 9:45:00 AM,"","#1 Fuel Oil - Kerosene","","FAIRFIELD","412 Ridge Road",44.621074,-69.61646
"A-401-1990",8/9/1990 12:00:00 PM,"","#2 Fuel Oil","","LITCHFIELD","",44.208047,-69.944097
"A-401-1994",8/29/1994 9:00:00 AM,"","Gasoline Unspecified","","KINGFIELD","",44.954449,-70.152914
"A-401-1996",9/11/1996,"","Gasoline Unspecified","","AUGUSTA","",44.309155,-69.779859
"A-401-1997",10/9/1997 5:03:00 PM,"","Lube Oil","","RUMFORD","",44.552361,-70.540829
"A-402-1993",8/21/1993,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
"A-402-1997",10/9/1997,"","#2 Fuel Oil","","ROCKPORT","",44.157066,-69.114121
"A-402-2001",5/29/2001 9:30:51 PM,"2 gals at Puffin Stop","Gasoline Unspecified","","ROCKLAND","crossroads market",44.116508,-69.111229
"A-403-2004",7/14/2004 11:00:00 AM,"low levels of gasoline in drinking water.","Gasoline Unspecified","","NOBLEBORO","9 East Neck Rd.",44.080064,-69.485671
"A-403-2005",9/1/2005 10:55:00 AM,"UST piping upgrade.  PID readings of > 200.  Soil spread on site.","Diesel","","RANDOLPH","Birmingham Road",44.237564,-69.748022
"A-403-2009",7/8/2009 4:00:00 AM,"30 gallons to basement floor from tank corrosion leak.","#2 Fuel Oil","","READFIELD","781 Main Street",44.379889,-69.939407
"A-404-1986",11/10/1986,"","Gasoline Unspecified","","ROME","",44.573337,-69.9025
"A-404-1989",8/24/1989,"","#6 Fuel Oil","","WATERVILLE","",44.567781,-69.617815
"A-404-1994",9/1/1994,"","#2 Fuel Oil","","LEEDS","",44.355028,-70.164859
"A-404-2001",6/4/2001 9:30:00 AM,"","Hazardous Chemical - Specified in report","","LEXINGTON TWP","",44.999821,-70.049963
"A-404-2004",7/13/2004,"Low level under fill pipe (200 ppm) found by Simard and Son during UST removal","Gasoline Unspecified","","EUSTIS","Route 27 975 Arnold Trail",45.192102,-70.462809
"A-404-2009",7/7/2009 4:22:00 AM,"Michael White 578-1691","Gasoline Unspecified","","PITTSTON","RT.27 Former Troops Variety",44.174291,-69.744931
"A-405-1993",8/24/1993,"","Non-Hazardous Chemical - Unspecified","","RUMFORD","",44.552361,-70.540829
"A-405-1996",9/12/1996 10:15:00 AM,"","Gasoline Unspecified","","SKOWHEGAN","",44.769748,-69.682725
"A-405-1998",7/29/1998,"","Unleaded Gasoline","","ST GEORGE","",43.968605,-69.208907
"A-405-2007",7/16/2007 4:30:00 PM,"180 gallons delivered 6/2 empty  7/16.  New boiler no signs of large spill in dirt basement.","#2 Fuel Oil","","VASSALBORO","402 Priest Hill Road",44.471355,-69.601107
"A-405-2008",6/23/2008,"Corrosion leak to bottom of AST, 3-4 gallons to soil. ","#1 Fuel Oil - Kerosene","","WALDOBORO","81 Jackson Road",44.175491,-69.331826
"A-406-1998",7/29/1998,"","Unleaded Gasoline","","ST GEORGE","",43.96659,-69.208837
"A-406-2003",8/12/2003,"1-2 gallons to pavement","Unleaded Gasoline","","PITTSFIELD","CN Brown",44.775435,-69.389155
"A-406-2004",7/15/2004 8:40:00 PM,"Hose torn off dispenser, 20 gallons to pavement.","Diesel","","MANCHESTER","Rt 202 Irving",44.322778,-69.845694
"A-407-1988",9/24/1988 5:00:00 PM,"","Sulfuric Acid","","WATERVILLE","",44.578456,-69.608104
"A-407-1998",7/29/1998,"","Unleaded Gasoline","","ST GEORGE","",43.973292,-69.211263
"A-408-1997",10/16/1997 8:00:00 AM,"","Gasoline Unspecified","","SKOWHEGAN","",44.769652,-69.72104
"A-408-1998",7/29/1998,"","Leaded Gasoline","","ST GEORGE","",43.966512,-69.209047
"A-408-2004",7/16/2004 4:40:00 PM,"","Gasoline Unspecified","","LIVERMORE FALLS","route 133 @ Burhoe residence",44.40739,-70.135831
"A-409-1988",9/23/1988,"","None","","TURNER","",44.299089,-70.251379
"A-409-1993",8/25/1993,"","Diesel","","ANDOVER","",44.632936,-70.698957
"A-409-1996",9/17/1996 9:00:00 AM,"","Gasoline Unspecified","","WISCASSET","",43.978,-69.707996
"A-409-1998",7/29/1998,"","Unleaded Gasoline","","ST GEORGE","",43.96707,-69.209044
"A-409-2004",7/20/2004 9:50:00 AM,"Minor vehicle overfill","Gasoline Unspecified","","WALDOBORO","Big Apple - 1519 Atlantic Hwy",44.101557,-69.3823
"A-409-2011",6/24/2011 9:10:00 AM,"Stolen copper line - to dirt floor basement, unknown amount (carry over)","#1 Fuel Oil - Kerosene","","LIVERMORE","147 Crash Road  Marcia Dow 225-2380",44.450762,-70.220481
"A-410-1986",11/17/1986,"","Gasoline Unspecified","","GREENE","",44.184549,-70.1617
"A-410-1995",9/6/1995,"","#2 Fuel Oil","","ROCKPORT","",44.130997,-69.094546
"A-410-2001",6/5/2001,"","Hazardous Chemical - Unspecified","","EDGECOMB","",44.001422,-69.61809
"A-411-1986",11/18/1986 1:00:00 PM,"","Diesel","","LITCHFIELD","",44.168211,-69.870039
"A-411-1988",9/26/1988 8:00:00 AM,"","Gasoline Unspecified","","AUGUSTA","",44.328329,-69.734166
"A-411-1994",9/2/1994,"","Corrosive","","RUMFORD","",44.552361,-70.540829
"A-411-1999",7/11/1999 7:30:00 PM,"","#2 Fuel Oil","","SIDNEY","",44.423907,-69.755789
"A-411-2000",7/25/2000 7:28:00 AM,"","Unspecified Oil","","NORTHPORT","",44.39299,-68.986866
"A-411-2010",7/26/2010 9:00:00 AM,"RC Eaton & Sons Transport Est. 25 gallons spilled","Diesel","","LIVERMORE","Tractor trailer accident RT 4 & 108",44.377579,-70.24997
"A-412-1990",8/14/1990 10:00:00 AM,"","#2 Fuel Oil","","VASSALBORO","",44.451389,-69.607222
"A-413-1994",9/3/1994,"","Lube Oil","","RUMFORD","",44.552361,-70.540829
"A-413-1996",9/18/1996,"","Gasoline Unspecified","","WINTHROP","",44.307572,-69.958565
"A-413-2002",6/21/2002 12:00:21 AM,"READFIELD FAMILY MARKET 1850 UNDER DISPENSER MOREAU INSPECTION","Gasoline Unspecified","","READFIELD","RT 4 & 17 IN READFIELD",44.387677,-69.966333
"A-414-1996",9/17/1996 10:00:00 AM,"","Gasoline Unspecified","","SUMNER","",44.377121,-70.432436
"A-414-2000",7/29/2000,"","Gasoline Unspecified","","RANGELEY","",44.967744,-70.767028
"A-414-2002",6/21/2002 12:00:30 AM,"LANDRY'S QUIK STOP DISPENSER LEAK MOREAU INSPECTION","Diesel","","GREENE","RT 202 ",44.193662,-70.137178
"A-414-2004",7/21/2004 7:00:00 AM,"Manchester Irving","Gasoline Unspecified","","MANCHESTER","Western ave",44.322778,-69.845694
"A-414-2006",7/22/2006 12:35:00 PM,"5 gallons from a vehicle overfill.  Some went to the storm drain. ","Unleaded Gasoline","","ROCKLAND","Puffin Stop, 191 Park St.",44.101731,-69.120389
"A-414-2009",7/9/2009 7:55:00 AM,"Oil filter nipple busted off tank.","#2 Fuel Oil","","RUMFORD","510 Pine Street",44.551814,-70.559521
"A-415-1988",9/28/1988,"","Gasoline Unspecified","","MADISON","",44.797976,-69.880627
"A-415-1995",9/7/1995 9:35:00 AM,"","Gasoline Unspecified","","SKOWHEGAN","",44.755737,-69.730273
"A-415-1997",10/13/1997,"","Unspecified Fuel Oil","","RUMFORD","",44.552361,-70.540829
"A-415-2002",6/18/2002 12:00:09 AM,"DISPENSER LEAK 280, 277, 183 MOREAU INSPECTION","Gasoline Unspecified","","UNION","MIC MAC MARKET",44.212249,-69.250426
"A-416-1986",11/18/1986,"","#2 Fuel Oil","","SEARSMONT","",44.361698,-69.194182
"A-416-1989",9/5/1989,"","Unspecified Motor Fuel","","NEW VINEYARD","",44.811385,-70.115377
"A-416-2002",6/27/2002 12:00:16 AM,"MORRILL COUNTRY STORE 188 PPM UNDER DISPENSER MOREAU INSPECTION","Gasoline Unspecified","","MORRILL","RT 131 ",44.443257,-69.149125
"A-416-2007",7/20/2007 8:27:00 AM,"1.5 gallons, vehicle spill","Gasoline Unspecified","","ANSON","5 New Portland Road",44.855277,-69.905584
"A-416-2009",7/9/2009 5:30:00 PM,"Outside AST corrosion leak 25-50 gallons.","#1 Fuel Oil - Kerosene","","BOOTHBAY","26 First Street",43.815852,-69.60126
"A-416-2010",7/27/2010 2:50:00 PM,"Tank corrosion. Small spill to concrete basement floor.  Fan installed during tank replacement","#2 Fuel Oil","","OAKLAND","287 Smithfield Road",44.573905,-69.752886
"A-416-2011",6/27/2011 10:00:00 AM,"vacant farm house oil stain found on dirt floor under tank","#2 Fuel Oil","","BELGRADE","514 Smithfield Road",44.535612,-69.792007
"A-417-1994",9/6/1994,"","Waste Oil/Used Motor Oil","","WILTON","",44.592468,-70.227845
"A-417-1997",10/19/1997 1:00:00 PM,"","#2 Fuel Oil","","LEEDS","",44.335343,-70.111934
"A-417-2002",6/28/2002 12:00:32 AM,"DUKE'S VARIETY SOIL UNDER DISPENSER 340, 1450 MOREAU INSPECTION ","Gasoline Unspecified","","SIDNEY","2631 MIDDLE RD",44.424264,-69.755128
"A-418-1991",8/27/1991,"","Gasoline Unspecified","","WATERVILLE","",44.543613,-69.683563
"A-418-1993",8/30/1993 2:30:00 PM,"","#2 Fuel Oil","","CHELSEA","",44.267767,-69.699297
"A-418-1995",9/11/1995,"","#2 Fuel Oil","","CHINA","",44.454448,-69.531941
"A-418-1996",9/22/1996 5:00:00 PM,"","Unspecified Oil","","RUMFORD","",44.552361,-70.540829
"A-418-1997",10/20/1997,"","Unleaded Gasoline","","RICHMOND","",44.16175,-69.857851
"A-418-2002",6/28/2002 12:00:39 AM,"BANGOR ST MINI-MART UNDER DISPENSER 378, 110, 130 MOREAU INSPECTION","Gasoline Unspecified","","AUGUSTA","127 BANGOR ST",44.32518,-69.763163
"A-418-2003",8/12/2003 1:30:00 PM,"Homeowner reports MTBE, Hydrocarbon, requires further investigation","Gasoline Unspecified","","BRISTOL","Wilder Drive",43.854998,-69.496328
"A-418-2007",7/20/2007 2:07:00 PM,"Hillbilll'y Store","Gasoline Unspecified","","AUGUSTA","Route 3",44.341247,-69.661959
"A-418-2013",7/15/2013 12:30:00 PM,"Estimated 50-100 gallons lost during gasoline delivery. ","E-10","0-25% ethanol; remainder gasoline","CHINA","Circle K 1390 Lakeview Drive",44.47998,-69.509702
"A-419-1987",10/29/1987,"","Gasoline Unspecified","","CHINA","",44.396947,-69.571111
"A-419-1995",9/11/1995,"","Unleaded Gasoline","","LIVERMORE FALLS","",44.475191,-70.191178
"A-419-1996",9/23/1996,"","Diesel","","AUGUSTA","",44.372663,-69.790229
"A-419-1997",10/21/1997,"","Gasoline Unspecified","","WILTON","",44.58628,-70.210139
"A-419-2000",7/31/2000 9:53:00 AM,"","Gasoline Unspecified","","BELFAST","",44.422164,-69.010119
"A-419-2002",6/28/2002 12:00:26 AM,"BANGOR ST MINI MART UNDER DISPENSER 270 MOREAU INSPECTION","#1 Fuel Oil - Kerosene","","AUGUSTA","127 BANGOR ST",44.32518,-69.763163
"A-419-2005",9/9/2005 9:40:00 AM,"Small quanity of diesel contamination found during a piping replacement at K and K excavation. ","Diesel","","TURNER","K and K Excavation, Rt 4",44.202624,-70.246463
"A-419-2008",6/11/2008 4:00:00 PM,"Suspected old contamination found during construction project. ","Diesel","","WEST GARDINER","MTA Service Plaza Route 126",44.208495,-69.827841
"A-419-2010",7/26/2010 12:45:00 PM,"212?? gallons to ground, failed transformer bushing  < 500 pcb","Transformer Oil","Non PCB - less than 50 ppm.","PITTSFIELD","United Technology - North Main Street",44.784598,-69.380127
"A-420-1987",10/29/1987,"","#2 Fuel Oil","","CHINA","",44.393115,-69.577667
"A-420-1997",10/21/1997,"","Gasoline Unspecified","","WARREN","",44.117471,-69.251934
"A-420-2003",7/29/2003 10:30:00 AM,"Poor install of new system. +/- 120 gal to basement.","#2 Fuel Oil","","SIDNEY","20 Sunflower Lane",44.423492,-69.794172
"A-420-2009",7/13/2009 5:00:00 AM,"100 gallons to ground under mobile home from leaking valve.  Soaked into ground.  Well 50 feet away.","#2 Fuel Oil","","DIXFIELD","656 Main Street",44.522414,-70.408337
"A-421-1992",8/26/1992,"","Unleaded Gasoline","","MADISON","",44.796979,-69.880501
"A-421-1997",10/21/1997,"","Gasoline Unspecified","","NORRIDGEWOCK","",44.713669,-69.795736
"A-421-2004",7/26/2004 10:39:00 AM,"Crimped line","#2 Fuel Oil","","LIBERTY","671 Fishtown Road",44.321696,-69.337125
